 Count  Overhead File                    Line Function
    91         0 @NCTSSoS/…c/types/arithmetic.jl   80 _simplified_to_terms(::Type{Pauli…
    91         0 @Compiler/…ractinterpretation.jl  338 abstract_call_gf_by_type(interp::…
    91        91 @SparseArrays/…c/solvers/wrappers.jl 2167 SuiteSparseQR_C(ordering::Int32, …
    91         0 @NCTSSoS/…imization/symmetry.jl 1760 _check_basis_closure(label::Strin…
    92         1 @SparseArrays/src/solvers/spqr.jl   55 _qr!(ordering::Int32, tol::Float6…
    93         0 @GroupsCore/src/elements.jl  162 mul!
    94         0 @Base/array.jl         1152 (::Base.var"#_growend!##0#_growen…
    95         0 @Base/generator.jl       45 iterate
    99        98 @Base/dict.jl             ? ht_keyindex2_shorthash!(h::Dict{N…
   101         0 @Compiler/…ractinterpretation.jl 2796 abstract_call_known(interp::Compi…
   102       102 @Base/genericmemory.jl  129 unsafe_copyto!
   102         3 @Base/abstractarray.jl 1567 mightalias
   103         0 @Base/sort.jl           490 _hi
   103         0 @Base/namedtuple.jl     331 merge
   103         0 @Base/namedtuple.jl     332 macro expansion
   103       103 @Base/namedtuple.jl     156 _new_NamedTuple
   104         0 @Base/sort.jl           654 _sort!
   104         6 @NCTSSoS/src/types/monomial.jl  613 adjoint
   104       104 @NCTSSoS/src/util/helpers.jl  161 _neat_dot3(a::Vector{UInt8}, m::V…
   106       106 @Base/dict.jl           354 setindex!(h::Dict{NormalMonomial{…
   108         0 @Base/abstractarray.jl 1342 getindex
   108         0 @Base/abstractarray.jl 1388 _getindex
   109         0 @SparseArrays/src/solvers/spqr.jl  203 qr(A::SparseArrays.SparseMatrixCS…
   111       111 @Base/int.jl              ? _neat_dot3(a::Vector{UInt8}, m::V…
   112         3 @Base/sort.jl          1137 _sort!(v::Vector{Vector{UInt8}}, …
   112         0 @Base/dict.jl           361 setindex!(h::Dict{NormalMonomial{…
   112         1 @Compiler/…ractinterpretation.jl 2903 abstract_call(interp::Compiler.Na…
   113         0 @Base/sort.jl           842 _sort!(v::Vector{Pair{Vector{UInt…
   114         0 @Compiler/…ractinterpretation.jl 3056 abstract_call(interp::Compiler.Na…
   114         0 @Compiler/…ractinterpretation.jl 2896 abstract_call
   116         5 @NCTSSoS/…c/types/arithmetic.jl   79 _simplified_to_terms(::Type{Pauli…
   116         0 @Compiler/…ractinterpretation.jl 3074 abstract_eval_call
   117         0 @Compiler/…ractinterpretation.jl 3849 abstract_eval_basic_statement
   117         0 @Compiler/…ractinterpretation.jl 3403 abstract_eval_statement_expr(inte…
